,0,1,2,3
0,-1.6,2.7,26.20560441,22.605350136899993
1,-1.6,3.1,20.38359882,19.906252883000015
2,-1.3,2.7,9.260123977,10.205657111950002
3,-1.7,3.1,16.34701645,18.430677085099973
4,-1.8,2.7,16.58317274,16.15966811480001
5,-1.5,2.55,16.30866788,15.263181284400018
6,-2.1,3.1,9.221274781,10.846824102989997
7,-1.4,3.0,9.510104939,10.120887189520007
8,-1.9,2.5,9.431391163,10.859266937469993
9,-1.5,2.7,14.35965398,14.823444481400013
10,-1.5,2.9,11.18521688,12.009551066090006
11,-1.9,2.7,11.26761264,12.026771278690003
12,-2.1,2.9,8.57051385,8.64595370922
13,-1.8,3.0,12.60692238,14.027682779800006
14,-1.5,3.1,10.85359598,12.743483642099989
15,-1.6,2.8,17.87274902,18.681862344499976
16,-1.9,3.1,15.68031647,15.59589453755998
17,-1.3,2.9,9.833672829,9.638447801079996
18,-1.3,3.1,6.69623573,8.158018967800006
19,-1.7,3.0,15.31048586,14.741818269699985
20,-1.8,2.8,11.23594518,12.939760204700017
21,-1.8,3.1,28.83077128,24.482409157499983
22,-1.7,2.8,14.54432171,14.090866209300009
23,-1.65,3.0,12.59916891,15.14676483489998
24,-2.1,2.5,4.710530636,6.761285786720002
25,-1.7,2.5,13.27898544,13.84643254516002
26,-1.3,2.5,10.71702947,10.690385275899992
