Cathode,Anode,0
-1.3,2.5,10.690385275899992
-1.4000000000000001,2.5,11.928085443599995
-1.5000000000000002,2.5,14.900794802630017
-1.6000000000000003,2.5,21.29482286952999
-1.7000000000000004,2.5,13.84643254516002
-1.8000000000000005,2.5,15.001028978180011
-1.9000000000000006,2.5,10.859266937469993
-2.000000000000001,2.5,6.761285786720002
-2.1000000000000005,2.5,6.761285786720002
-1.3,2.6,10.888431252599993
-1.4000000000000001,2.6,12.225201011869997
-1.5000000000000002,2.6,15.263181284400018
-1.6000000000000003,2.6,21.774596936499993
-1.7000000000000004,2.6,14.18654730813002
-1.8000000000000005,2.6,15.33398047565001
-1.9000000000000006,2.6,11.149930973479993
-2.000000000000001,2.6,6.880012207760002
-2.1000000000000005,2.6,6.880012207760002
-1.3,2.7,10.205657111950002
-1.4000000000000001,2.7,11.486188070810002
-1.5000000000000002,2.7,14.823444481400013
-1.6000000000000003,2.7,22.605350136899993
-1.7000000000000004,2.7,15.335349637600013
-1.8000000000000005,2.7,16.15966811480001
-1.9000000000000006,2.7,12.026771278690003
-2.000000000000001,2.7,7.070210213430004
-2.1000000000000005,2.7,7.070210213430004
-1.3,2.8000000000000003,9.94093758499
-1.4000000000000001,2.8000000000000003,11.110413987190004
-1.5000000000000002,2.8000000000000003,13.801177583600014
-1.6000000000000003,2.8000000000000003,18.681862344499976
-1.7000000000000004,2.8000000000000003,14.090866209300009
-1.8000000000000005,2.8000000000000003,12.939760204700017
-1.9000000000000006,2.8000000000000003,11.049722308600012
-2.000000000000001,2.8000000000000003,8.217402121229998
-2.1000000000000005,2.8000000000000003,8.217402121229998
-1.3,2.9000000000000004,9.638447801079996
-1.4000000000000001,2.9000000000000004,10.22406340496
-1.5000000000000002,2.9000000000000004,12.009551066090006
-1.6000000000000003,2.9000000000000004,17.317538652299987
-1.7000000000000004,2.9000000000000004,14.171476813599991
-1.8000000000000005,2.9000000000000004,12.89512161450001
-1.9000000000000006,2.9000000000000004,11.683626699479998
-2.000000000000001,2.9000000000000004,8.64595370922
-2.1000000000000005,2.9000000000000004,8.64595370922
-1.3,3.0000000000000004,9.541495193559998
-1.4000000000000001,3.0000000000000004,10.120887189520007
-1.5000000000000002,3.0000000000000004,12.130397499060006
-1.6000000000000003,3.0000000000000004,17.965485890799982
-1.7000000000000004,3.0000000000000004,14.741818269699985
-1.8000000000000005,3.0000000000000004,14.027682779800006
-1.9000000000000006,3.0000000000000004,12.123434236849995
-2.000000000000001,3.0000000000000004,8.753717514620002
-2.1000000000000005,3.0000000000000004,8.753717514620002
-1.3,3.1000000000000005,8.158018967800006
-1.4000000000000001,3.1000000000000005,9.63719879863001
-1.5000000000000002,3.1000000000000005,12.743483642099989
-1.6000000000000003,3.1000000000000005,19.906252883000015
-1.7000000000000004,3.1000000000000005,18.430677085099973
-1.8000000000000005,3.1000000000000005,24.482409157499983
-1.9000000000000006,3.1000000000000005,15.59589453755998
-2.000000000000001,3.1000000000000005,10.846824102989997
-2.1000000000000005,3.1000000000000005,10.846824102989997
-1.3,3.2000000000000006,8.158018967800006
-1.4000000000000001,3.2000000000000006,9.63719879863001
-1.5000000000000002,3.2000000000000006,12.743483642099989
-1.6000000000000003,3.2000000000000006,19.906252883000015
-1.7000000000000004,3.2000000000000006,18.430677085099973
-1.8000000000000005,3.2000000000000006,24.482409157499983
-1.9000000000000006,3.2000000000000006,15.59589453755998
-2.000000000000001,3.2000000000000006,10.846824102989997
-2.1000000000000005,3.2000000000000006,10.846824102989997
