,0,1,2,3
0,2.0,2.5,7.912620104,7.785564623071995
1,2.0,3.0,5.981594083,6.653872648279256
2,0.5,0.5,13.16826873,16.33261948102
3,3.0,1.5,15.83869501,14.42680036066002
4,1.5,2.0,8.232335535,7.987912759339988
5,0.5,0.1,53.87181316,43.02364363350001
6,2.0,3.0,7.182959502,6.653872648279256
7,0.5,2.5,3.745519787,3.9616011642099966
8,4.0,3.0,7.589942301,8.104416560354494
9,0.5,1.5,5.700685728,7.040711774040009
10,0.1,0.1,18.40825325,23.1052283258
11,1.25,0.5,19.0943222,18.495398625400014
12,0.5,0.2,24.95737661,24.88786820810002
13,1.25,3.0,5.568920839,5.473238554683664
14,3.0,0.5,22.85314099,20.912341139599985
15,1.5,0.25,27.30408189,26.224732874399976
16,0.2,0.1,29.73877479,28.452484467200044
17,4.0,1.0,17.13591692,16.430422430810005
18,2.0,1.5,11.30114898,11.246491535890002
19,1.5,0.4,25.67069617,22.34707386346
20,0.2,0.2,18.95602869,21.104351119900013
21,2.0,0.4,16.00411086,17.669484075900026
22,3.0,2.0,9.04269494,9.670061606242012
23,3.0,1.0,14.73360739,15.515917466460014
24,0.1,3.0,0.891252061,1.9199200804099978
25,0.5,3.0,3.164385391,3.287150563659998
26,0.5,1.0,8.352816706,11.277567227680011
27,0.5,2.0,4.53684353,4.830354128359998
28,2.5,0.5,11.09188463,14.098745888500009
29,2.0,0.5,21.21224964,18.669248348440004
30,2.0,2.0,7.665448134,8.122703997541999
31,2.0,0.8,17.29839786,15.64242066202002
