,0,1,2,3
0,3.0,1.5,89.32604317,77.21989743580004
1,1.25,0.5,105.0388489,104.08443163009997
2,2.5,2.5,35.38359712,34.503240014533354
3,1.0,0.5,102.5634532,102.92099565110011
4,4.0,1.0,84.60596095,92.1966511916
5,0.5,2.5,23.59788969,24.878267147800038
6,0.5,0.1,186.9122302,174.08142924049992
7,2.0,0.4,137.333717,134.32664075259996
8,0.5,1.0,61.48776978,73.48340678050002
9,2.0,3.0,30.27395683,29.109466742749987
10,4.0,2.0,42.59136691,43.34884618280002
11,0.5,3.0,19.30014388,21.600354662250002
12,0.5,2.0,28.95021583,27.31411134160001
13,1.25,3.0,24.81505257,25.869239638949985
14,2.0,1.5,52.66282974,55.595779654299996
15,1.5,0.4,142.6551559,137.53166043899992
16,2.0,0.8,97.26848921,97.84112381189999
17,0.5,0.5,86.67856115,87.1844508315
18,3.0,1.0,113.6431655,107.62501338329992
19,2.0,3.0,26.22898253,29.109466742749987
20,1.5,2.0,38.21640288,37.67930248199994
21,0.1,0.1,68.14618705,88.19296498449995
22,0.2,0.2,80.85410072,99.60899567910006
23,0.2,0.1,121.5856115,112.44270886500007
24,1.5,0.25,149.0091127,153.14792133719985
25,2.0,2.5,32.25956835,33.016149369966655
26,0.5,0.2,188.5889688,171.2995433861001
27,2.0,1.0,93.88633094,94.58291812820003
28,1.25,1.25,54.34902364,67.05233257940003
29,3.0,0.5,118.4483453,114.42042205099989
30,3.0,2.0,45.98676259,45.99135155990001
31,0.1,1.5,10.87784173,28.99823768679999
